model_name,GA_estimate,GA_se,GA_lower,GA_upper,noGA_estimate,noGA_se,noGA_lower,noGA_upper
carry forward,-4.730878092802956,1.486101389961825,-7.643592264510744,-1.8181639210951688,-3.5534312504736567,1.6061670003571558,-6.701470418996698,-0.40539208195061516
mean-filled,-5.071076323339269,1.4904250309845892,-7.99226470183096,-2.149887944847578,-3.688192538776489,1.6108522685389999,-6.845414692473675,-0.530970385079303
natural through week 42,-5.991718124301954,1.5223784689475046,-8.975534283251989,-3.0079019653519192,-4.575046545947804,1.6453833560502218,-7.799948595940239,-1.3501444959553686
truncated at week 37,-4.50142521430895,1.473694488634032,-7.389822231367303,-1.6130281972505984,-3.441553029626125,1.5927559226620627,-6.563306887924968,-0.3197991713272823
zero-filled,-7.279855543235621,1.6618697784747447,-10.537070486975505,-4.022640599495737,76.00536695472458,1.5165019834530062,73.03306853121609,78.97766537823307
