model_name,GA_estimate,GA_se,GA_lower,GA_upper,noGA_estimate,noGA_se,noGA_lower,noGA_upper
carry forward,-3.915625802971872,1.4345757148194733,-6.727350651166873,-1.1039009547768717,-3.039204225160594,1.7395325060261255,-6.448635125769952,0.37022667544876464
mean-filled,-4.526364298658789,1.442157655346501,-7.352949520103635,-1.699779077213944,-2.809831190626704,1.7487459248216812,-6.23732011236128,0.6176577311078719
natural through week 42,-5.558641541923482,1.4807677997259228,-8.46090147417136,-2.6563816096756043,-4.182102838227977,1.7955637530894453,-7.7013532820051545,-0.6628523944508
truncated at week 37,-2.2499177937716532,1.3568122924941097,-4.909228695059417,0.4093931075161099,-1.9226810094769207,1.6452321176721767,-5.1472860118178465,1.3019239928640054
zero-filled,-7.190096471373987,1.611350845516134,-10.348295208948377,-4.031897733799598,143.75375242305137,1.4805419627016418,140.85193512455473,146.655569721548
