model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,-0.0027272423476079155,0.02936786660514936,0.951,0.0038324350165712543,-0.7116212892887833,0.4767823534274891
ns (best AIC),mean-filled,-0.002735429193793971,0.02954466698887616,0.952,0.0038439537195575075,-0.7116186596827334,0.47678398186594473
ns (best AIC),natural through week 42,-2.832303841809783e-4,0.030901167942016694,0.9475,0.0039317010310782755,-0.07203761983481788,0.9425791757431763
ns (best AIC),truncated at week 30,-0.0032546681147196696,0.02538243738646899,0.9525,0.0035626210007750738,-0.9135600205611524,0.36105825197417296
ns (best AIC),zero-filled,0.12283167314815782,0.04958335417397716,0.89,0.004154093808580384,29.568825069488305,1.0414023037802368e-159
