model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,-0.005660889963851848,0.03692073580470492,0.951,0.004295762080316644,-1.317784797670773,0.18772669640448564
ns (best AIC),mean-filled,-0.005030291315923464,0.036970847065424015,0.952,0.004299071134985127,-1.1700879464374963,0.2421050594074921
ns (best AIC),natural through week 42,-0.0032854147267633227,0.038192852822394936,0.955,0.004370421001013185,-0.7517387286034165,0.45229669122648153
ns (best AIC),truncated at week 30,-0.004012139832491194,0.03324529882793985,0.9495,0.004077120581620162,-0.9840620977898216,0.32520406824083026
ns (best AIC),zero-filled,0.11433851697696883,0.05532137067870736,0.906,0.004597238780976255,24.871128610963353,3.440037088444256e-119
