model,data,CE_bias,CE_RMSE,CE_coverage,CE_p
ns (best AIC),carry forward,-0.005660889963851848,0.03692073580470492,95.1,0.18772669640448564
ns (best AIC),mean-filled,-0.005030291315923464,0.036970847065424015,95.19999999999999,0.2421050594074921
ns (best AIC),natural through week 42,-0.0032854147267633227,0.038192852822394936,95.5,0.45229669122648153
ns (best AIC),truncated at week 30,-0.004012139832491194,0.03324529882793985,94.95,0.32520406824083026
ns (best AIC),zero-filled,0.11433851697696883,0.05532137067870736,90.60000000000001,3.440037088444256e-119
