model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,-0.19813228434040156,0.06794411322414969,0.7705,0.0037882754755483787,-52.30144576846555,0
ns (best AIC),mean-filled,-0.20022588175910977,0.06802514151365167,0.765,0.003738229002048324,-53.561695029758226,0
ns (best AIC),natural through week 42,-0.19149719793948097,0.06727400648492796,0.7955,0.003912680585968079,-48.942711711822646,0
ns (best AIC),truncated at week 30,-0.19949721148148114,0.06504095953845215,0.75,0.0035534806439779893,-56.141353075769516,0
ns (best AIC),zero-filled,-0.030473715490117903,0.09430022577619028,0.9155,0.006834408810724221,-4.458866353195032,8.696312998104681e-6
