model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,-0.006430799071134029,0.036584799292329266,0.95,0.00427561252793825,-1.5040649799562251,0.13272260469268118
ns (best AIC),mean-filled,-0.005757908323157937,0.03666258230911952,0.9535,0.004280639711374937,-1.3451046365470694,0.17874402034657363
ns (best AIC),natural through week 42,-0.0036096755334896267,0.037937978843305235,0.9535,0.004355681407447711,-0.8287280900107844,0.40735722405790187
ns (best AIC),truncated at week 30,-0.004419465680970889,0.03300889307902552,0.9485,0.0040623801111101965,-1.0879005804710642,0.27677014686532997
ns (best AIC),zero-filled,-0.008663069730423693,0.07682075180966558,0.925,0.006196131659352124,-1.3981416481601225,0.1622256363330645
