model,data,CE_bias,CE_RMSE,CE_coverage,CE_p
ns (best AIC),carry forward,-0.0032152471604268507,0.029177790554849706,95.19999999999999,0.40004119270453153
ns (best AIC),mean-filled,-0.0034649471910246955,0.029397662931757503,94.85,0.3662512146029211
ns (best AIC),natural through week 42,-5.093879960993828e-4,0.030778037838372074,94.85,0.8967231145501242
ns (best AIC),truncated at week 30,-0.003493170091729781,0.025292324359899542,95.25,0.32607940615222664
ns (best AIC),zero-filled,-0.011746448883601372,0.06931354641528281,93.15,0.045981263075236783
