model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,-0.0032152471604268507,0.029177790554849706,0.952,0.0038198196137009064,-0.841727486003376,0.40004119270453153
ns (best AIC),mean-filled,-0.0034649471910246955,0.029397662931757503,0.9485,0.0038340811970631623,-0.9037229554968171,0.3662512146029211
ns (best AIC),natural through week 42,-5.093879960993828e-4,0.030778037838372074,0.9485,0.003923848554016602,-0.12981846498075306,0.8967231145501242
ns (best AIC),truncated at week 30,-0.003493170091729781,0.025292324359899542,0.9525,0.003556175509368401,-0.9822828154930379,0.32607940615222664
ns (best AIC),zero-filled,-0.011746448883601372,0.06931354641528281,0.9315,0.005882608793729522,-1.9968094591165608,0.045981263075236783
