model,data,CE_bias,CE_RMSE,CE_coverage,CE_p
ns (best AIC),carry forward,0.015434229560303738,0.06874290837168577,93.30000000000001,0.00844094302143198
ns (best AIC),mean-filled,0.019220773554154358,0.07023318892006487,92.9,0.001168066377509519
ns (best AIC),natural through week 42,0.01719426105773585,0.07092863897750412,92.95,0.0038621892733654234
ns (best AIC),truncated at week 30,0.008709905715914517,0.06588849633858791,94.65,0.1291783018171244
ns (best AIC),zero-filled,0.016571011091885298,0.10386565102999953,90.5,0.02144082346274706
