model,data,CE_bias,CE_RMSE,CE_coverage,CE_p
ns (best AIC),carry forward,-0.19813228434040156,0.06794411322414969,77.05,0
ns (best AIC),mean-filled,-0.20022588175910977,0.06802514151365167,76.5,0
ns (best AIC),natural through week 42,-0.19149719793948097,0.06727400648492796,79.55,0
ns (best AIC),truncated at week 30,-0.19949721148148114,0.06504095953845215,75,0
ns (best AIC),zero-filled,-0.030473715490117903,0.09430022577619028,91.55,8.696312998104681e-6
