model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,0.015434229560303738,0.06874290837168577,0.933,0.005854014110453228,2.6365207307484253,0.00844094302143198
ns (best AIC),mean-filled,0.019220773554154358,0.07023318892006487,0.929,0.005911797532650787,3.2512570750263783,0.001168066377509519
ns (best AIC),natural through week 42,0.01719426105773585,0.07092863897750412,0.9295,0.0059442548115574275,2.892584790326453,0.0038621892733654234
ns (best AIC),truncated at week 30,0.008709905715914517,0.06588849633858791,0.9465,0.0057378374262145775,1.5179770824668872,0.1291783018171244
ns (best AIC),zero-filled,0.016571011091885298,0.10386565102999953,0.905,0.0071987107893851845,2.3019414971247327,0.02144082346274706
