model,data,CE_bias,CE_RMSE,CE_coverage,CE_p
ns (best AIC),carry forward,-0.0027272423476079155,0.02936786660514936,95.1,0.4767823534274891
ns (best AIC),mean-filled,-0.002735429193793971,0.02954466698887616,95.19999999999999,0.47678398186594473
ns (best AIC),natural through week 42,-2.832303841809783e-4,0.030901167942016694,94.75,0.9425791757431763
ns (best AIC),truncated at week 30,-0.0032546681147196696,0.02538243738646899,95.25,0.36105825197417296
ns (best AIC),zero-filled,0.12283167314815782,0.04958335417397716,89,1.0414023037802368e-159
