model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,-0.0010807259203163293,0.030120631208335413,0.9425,0.003881657539317006,-0.278418667636117,0.7807197868475685
ns (best AIC),mean-filled,-9.054075460717045e-4,0.030347244290053695,0.9475,0.0038962549537917917,-0.23237892715171835,0.8162675022759338
ns (best AIC),natural through week 42,2.8483110189039227e-4,0.03129954425673154,0.951,0.003956963525755519,0.07198224093713583,0.942623241729027
ns (best AIC),truncated at week 37,6.71103062243517e-4,0.0293936188006143,0.942,0.003834571185769856,0.17501384893674404,0.8610864757268288
ns (best AIC),zero-filled,0.23400133307752047,0.0846440628997865,0.719,0.0038666775281135254,60.51741614762611,0
