model,data,rmse142,rmse3842,cover142,cover3842
ns (best AIC),carry forward,0.020448819488314958,0.016647162887678243,0.8080238095238095,0.9085
ns (best AIC),mean-filled,0.022961965758445755,0.02987928577815879,0.8186428571428571,0.9232
ns (best AIC),natural through week 42,0.020866623176105447,0.019719144669999664,0.8107023809523809,0.9171
ns (best AIC),truncated at week 37,0.02059521256616185,NA,0.8186756756756757,NA
ns (best AIC),zero-filled,0.022917582897272876,0.03084085141261994,0.8155714285714286,0.9251
