model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,5.8032294180024215e-5,0.029002909374649017,0.944,0.0038090297133429513,0.015235453264315137,0.9878458576835232
ns (best AIC),mean-filled,-2.2747347841732917e-4,0.029259323852963988,0.951,0.00382582730029155,-0.05945733054913231,0.9525937936706516
ns (best AIC),natural through week 42,0.0012437041130754,0.03032650850416993,0.951,0.003894876876753238,0.3193179534117005,0.7495187846070628
ns (best AIC),truncated at week 37,0.001477387680892198,0.028217387742477316,0.9475,0.0037569482115130124,0.3932414283393113,0.6941831075526306
ns (best AIC),zero-filled,-0.001533142391480192,0.04409032713935711,0.9445,0.004696276803467792,-0.32645911977507364,0.7441111888905163
