model,data,CE_bias,CE_RMSE,CE_coverage,CE_p,RMSE_1_42,RMSE_38_42,cover_1_42,cover_38_42
ns (best AIC),carry forward,0.005803229418002422,2.9002909374649017,94.39999999999999,0.9878458576835232,2.0448819488314958,1.6647162887678244,80.80238095238094,90.85
ns (best AIC),mean-filled,-0.022747347841732917,2.9259323852963988,95.1,0.9525937936706516,2.2961965758445757,2.987928577815879,81.86428571428571,92.32000000000001
ns (best AIC),natural through week 42,0.12437041130754,3.032650850416993,95.1,0.7495187846070628,2.0866623176105445,1.9719144669999664,81.0702380952381,91.71000000000001
ns (best AIC),truncated at week 37,0.1477387680892198,2.8217387742477316,94.75,0.6941831075526306,2.0595212566161853,NA,81.86756756756756,NA
ns (best AIC),zero-filled,-0.1533142391480192,4.40903271393571,94.45,0.7441111888905163,2.2917582897272877,3.084085141261994,81.55714285714286,92.51
