model,data,rmse142,rmse3842,cover142,cover3842
ns (best AIC),carry forward,0.020661769601237907,0.016879413746827457,0.8099166666666666,0.9098
ns (best AIC),mean-filled,0.023278165371757663,0.03052661873617269,0.8175,0.9185
ns (best AIC),natural through week 42,0.02112064507277083,0.019945118467934373,0.81075,0.9175
ns (best AIC),truncated at week 37,0.02089062714913792,NA,0.8179459459459459,NA
ns (best AIC),zero-filled,0.029234361547373716,0.05997438518707215,0.6671071428571429,0.09280000000000001
