model,data,CE_bias,CE_RMSE,CE_coverage,CE_p,RMSE_1_42,RMSE_38_42,cover_1_42,cover_38_42
ns (best AIC),carry forward,-0.10807259203163293,3.0120631208335413,94.25,0.7807197868475685,2.0661769601237907,1.6879413746827456,80.99166666666666,90.98
ns (best AIC),mean-filled,-0.09054075460717044,3.0347244290053697,94.75,0.8162675022759338,2.3278165371757664,3.0526618736172693,81.75,91.85
ns (best AIC),natural through week 42,0.028483110189039228,3.1299544256731537,95.1,0.942623241729027,2.112064507277083,1.9945118467934373,81.075,91.75
ns (best AIC),truncated at week 37,0.0671103062243517,2.93936188006143,94.19999999999999,0.8610864757268288,2.089062714913792,NA,81.7945945945946,NA
ns (best AIC),zero-filled,23.400133307752046,8.46440628997865,71.89999999999999,0,2.9234361547373715,5.997438518707215,66.71071428571429,9.280000000000001
