model,data,CE_bias,CE_RMSE,CE_coverage,CE_p
ns (best AIC),carry forward,-0.0029656345012096783,0.02975702923129133,95.39999999999999,0.4421238293950761
ns (best AIC),mean-filled,-0.0029710103356886453,0.029872968946742552,95,0.44218465569954124
ns (best AIC),natural through week 42,-9.545407133849993e-4,0.03115659721918776,94.75,0.8089703371898362
ns (best AIC),truncated at week 37,-0.0010808077716876862,0.028657492936569953,94.95,0.7753216471152865
ns (best AIC),zero-filled,0.2521386442897311,0.10082071089709983,70.39999999999999,0
