model,data,CE_bias,CE_RMSE,CE_coverage,CE_p
ns (best AIC),carry forward,0.015733044375142648,0.06769219729698518,93.4,0.006814327346413774
ns (best AIC),mean-filled,0.01875214530343652,0.06810587445050237,92.80000000000001,0.0012980131860299816
ns (best AIC),natural through week 42,0.017459463337351776,0.0694971369572769,93.25,0.0030367877557268643
ns (best AIC),truncated at week 37,0.005976374758619437,0.0683245879349996,92.7,0.3066614238349892
ns (best AIC),zero-filled,0.017396378033307916,0.10248893124213565,91.2,0.015055240079201192
