model,data,CE_bias,CE_RMSE,CE_coverage,CE_p
ns (best AIC),carry forward,-0.005831479147278479,0.03743983470672057,95.45,0.17778556879793492
ns (best AIC),mean-filled,-0.0051048892893929675,0.03731829589280183,95.65,0.2373829546655666
ns (best AIC),natural through week 42,-0.004030857900925094,0.03854960238249873,95.25,0.35868226402107506
ns (best AIC),truncated at week 37,-0.005784318828311659,0.03682853260846949,95.3,0.17773736919493327
ns (best AIC),zero-filled,0.2349455473929467,0.09919696607764349,76.64999999999999,0
