model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,-0.0025052769052583608,0.029323644135044014,0.951,0.003829623593745328,-0.6541835885255315,0.5130687846880901
ns (best AIC),mean-filled,-0.00277267444805012,0.029406116619968746,0.952,0.0038349143056987545,-0.7230081892390331,0.4697594358798515
ns (best AIC),natural through week 42,-5.714474026000163e-4,0.030746030548922634,0.9475,0.0039218034460601296,-0.1457103627093031,0.8841647311772205
ns (best AIC),truncated at week 37,-7.178604879984004e-4,0.028300371710703258,0.9515,0.003762579792756553,-0.19078943903870788,0.848709937029236
ns (best AIC),zero-filled,-0.008509981266110536,0.06955119547439442,0.9235,0.005895486937457948,-1.443473856593756,0.1490437199913637
