model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,-0.005831479147278479,0.03743983470672057,0.9545,0.0043257681877378424,-1.348079437961757,0.17778556879793492
ns (best AIC),mean-filled,-0.0051048892893929675,0.03731829589280183,0.9565,0.004319195031708269,-1.1819075665527312,0.2373829546655666
ns (best AIC),natural through week 42,-0.004030857900925094,0.03854960238249873,0.9525,0.004390480092343121,-0.9180904630349653,0.35868226402107506
ns (best AIC),truncated at week 37,-0.005784318828311659,0.03682853260846949,0.953,0.004290307739816822,-1.3482293530204026,0.17773736919493327
ns (best AIC),zero-filled,0.2349455473929467,0.09919696607764349,0.7665,0.004691458495003577,50.07942575707846,0
