model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,-0.34159444280186074,0.14590116186972538,0.4835,0.003822892427411687,-89.35497121302453,0
ns (best AIC),mean-filled,-0.34107925618200097,0.14487128009176567,0.483,0.0037782599395932088,-90.2741636719478,0
ns (best AIC),natural through week 42,-0.33952650505409565,0.14598855493601856,0.503,0.003919545262963431,-86.62395310556805,0
ns (best AIC),truncated at week 37,-0.34036003489774924,0.14412585004789585,0.476,0.003761319197728767,-90.48953758119546,0
ns (best AIC),zero-filled,-0.01469660828860494,0.08870874257749635,0.9235,0.0066534585289420725,-2.2088674972085176,0.027296916895250167
