model,data,CE_bias,CE_RMSE,CE_coverage,CE_p
ns (best AIC),carry forward,-0.0055374257516750975,0.0367859406004952,95.1,0.1967208283928059
ns (best AIC),mean-filled,-0.0051699358803457066,0.03654691333475303,95.39999999999999,0.22659330956251023
ns (best AIC),natural through week 42,-0.0036848580577126303,0.037900136291459684,95.15,0.39742124518253164
ns (best AIC),truncated at week 37,-0.005317988611046893,0.0361671815925714,95.25,0.2111764675553921
ns (best AIC),zero-filled,-0.005766951274492775,0.07622812079606117,92.80000000000001,0.35036905348223313
