model,data,CE_bias,CE_RMSE,CE_coverage,CE_p
ns (best AIC),carry forward,-0.0025052769052583608,0.029323644135044014,95.1,0.5130687846880901
ns (best AIC),mean-filled,-0.00277267444805012,0.029406116619968746,95.19999999999999,0.4697594358798515
ns (best AIC),natural through week 42,-5.714474026000163e-4,0.030746030548922634,94.75,0.8841647311772205
ns (best AIC),truncated at week 37,-7.178604879984004e-4,0.028300371710703258,95.15,0.848709937029236
ns (best AIC),zero-filled,-0.008509981266110536,0.06955119547439442,92.35,0.1490437199913637
