model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,0.015733044375142648,0.06769219729698518,0.934,0.005808545765317802,2.708602980987591,0.006814327346413774
ns (best AIC),mean-filled,0.01875214530343652,0.06810587445050237,0.928,0.005821860766103955,3.2209882813782293,0.0012980131860299816
ns (best AIC),natural through week 42,0.017459463337351776,0.0694971369572769,0.9325,0.005883320387163467,2.9676206951852797,0.0030367877557268643
ns (best AIC),truncated at week 37,0.005976374758619437,0.0683245879349996,0.927,0.0058447853851079125,1.0225139786735036,0.3066614238349892
ns (best AIC),zero-filled,0.017396378033307916,0.10248893124213565,0.912,0.007149734819608648,2.4331501058748546,0.015055240079201192
