model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,-0.0029656345012096783,0.02975702923129133,0.954,0.0038576622325702105,-0.7687646876315014,0.4421238293950761
ns (best AIC),mean-filled,-0.0029710103356886453,0.029872968946742552,0.95,0.0038651702152117666,-0.7686622244981437,0.44218465569954124
ns (best AIC),natural through week 42,-9.545407133849993e-4,0.03115659721918776,0.9475,0.003947864720774243,-0.24178658107560427,0.8089703371898362
ns (best AIC),truncated at week 37,-0.0010808077716876862,0.028657492936569953,0.9495,0.003786202591066094,-0.2854595721417431,0.7753216471152865
ns (best AIC),zero-filled,0.2521386442897311,0.10082071089709983,0.704,0.0043165638925350466,58.41188745654225,0
