model,data,CE_bias,CE_RMSE,CE_coverage,CE_SE,CE_t,CE_p
ns (best AIC),carry forward,-0.0055374257516750975,0.0367859406004952,0.951,0.004287986960609502,-1.2913812011424581,0.1967208283928059
ns (best AIC),mean-filled,-0.0051699358803457066,0.03654691333475303,0.954,0.0042742516494065136,-1.2095534620811481,0.22659330956251023
ns (best AIC),natural through week 42,-0.0036848580577126303,0.037900136291459684,0.9515,0.0043534762470919825,-0.846417402684585,0.39742124518253164
ns (best AIC),truncated at week 37,-0.005317988611046893,0.0361671815925714,0.9525,0.004251880706184252,-1.2507379624531831,0.2111764675553921
ns (best AIC),zero-filled,-0.005766951274492775,0.07622812079606117,0.928,0.006173855341633711,-0.9340923872321794,0.35036905348223313
